temp,moisture,moisture_factor,temp_factor,drought_prob
27.0,1019.0,0.003910068426197455,0.675,0.23879154447702833
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1018.0,0.004887585532746819,0.65,0.2306769305962854
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1016.0,0.006842619745845546,0.65,0.2319477028347996
26.0,1016.0,0.006842619745845546,0.65,0.2319477028347996
26.0,1016.0,0.006842619745845546,0.65,0.2319477028347996
26.0,1016.0,0.006842619745845546,0.65,0.2319477028347996
26.0,1016.0,0.006842619745845546,0.65,0.2319477028347996
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1019.0,0.003910068426197455,0.65,0.23004154447702832
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
26.0,1020.0,0.0029325513196480912,0.65,0.22940615835777123
